"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial test","Get users","SUCCESS","2020-06-02T15:28:48.777-05:00[America/Bogota]","0.0","0.08"
"Serenity initial test","Initial test","SUCCESS","2020-06-02T16:28:06.36-05:00[America/Bogota]","0.0","15.66"
